,GRADE,STRATUM_Stratum 1,STRATUM_Stratum 2,STRATUM_Stratum 3,STRATUM_Stratum 4,STRATUM_Stratum 5,STRATUM_Stratum 6,SISBEN_Level 1,SISBEN_Level 2,SISBEN_Level 3,INTERNET_No,MIC_OVEN_No,CAR_Yes,MOBILE_No,SCHOOL_TYPE_TECHNICAL,SCHOOL_TYPE_TECHNICAL/ACADEMIC,"UNIVERSITY_CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA","UNIVERSITY_CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO -""UDI""-BUCARAMANGA",UNIVERSITY_CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-NEIVA,UNIVERSITY_CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-BOGOTÁ D.C.,"UNIVERSITY_ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.",UNIVERSITY_FUNDACION UNIVERSIDAD DE AMERICA-BOGOTÁ D.C.,"UNIVERSITY_FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",UNIVERSITY_FUNDACION UNIVERSITARIA LOS LIBERTADORES-BOGOTÁ D.C.,UNIVERSITY_FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA      -CARTAGENA,UNIVERSITY_Other,UNIVERSITY_PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,UNIVERSITY_PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,UNIVERSITY_UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,UNIVERSITY_UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,UNIVERSITY_UNIVERSIDAD AUTONOMA DEL CARIBE-BARRANQUILLA,UNIVERSITY_UNIVERSIDAD CATOLICA DE COLOMBIA-BOGOTÁ D.C.,UNIVERSITY_UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,UNIVERSITY_UNIVERSIDAD DE ANTIOQUIA-MEDELLIN,UNIVERSITY_UNIVERSIDAD DE CARTAGENA-CARTAGENA,UNIVERSITY_UNIVERSIDAD DE IBAGUE-IBAGUE,UNIVERSITY_UNIVERSIDAD DE LA GUAJIRA-RIOHACHA,UNIVERSITY_UNIVERSIDAD DE LA SABANA-CHIA,UNIVERSITY_UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,UNIVERSITY_UNIVERSIDAD DE PAMPLONA-PAMPLONA,UNIVERSITY_UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,UNIVERSITY_UNIVERSIDAD DEL ATLANTICO-BARRANQUILLA,UNIVERSITY_UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA-SANTA MARTA,UNIVERSITY_UNIVERSIDAD DEL NORTE-BARRANQUILLA,UNIVERSITY_UNIVERSIDAD DEL VALLE-CALI,"UNIVERSITY_UNIVERSIDAD DISTRITAL""FRANCISCO JOSE DE CALDAS""-BOGOTÁ D.C.",UNIVERSITY_UNIVERSIDAD EAFIT--MEDELLIN,UNIVERSITY_UNIVERSIDAD ECCI-BOGOTÁ D.C.,UNIVERSITY_UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-CUCUTA,UNIVERSITY_UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,UNIVERSITY_UNIVERSIDAD LA GRAN COLOMBIA-BOGOTÁ D.C.,"UNIVERSITY_UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",UNIVERSITY_UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,UNIVERSITY_UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,UNIVERSITY_UNIVERSIDAD NACIONAL DE COLOMBIA-MEDELLIN,UNIVERSITY_UNIVERSIDAD PONTIFICIA BOLIVARIANA-BUCARAMANGA,UNIVERSITY_UNIVERSIDAD PONTIFICIA BOLIVARIANA-MEDELLIN,UNIVERSITY_UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,UNIVERSITY_UNIVERSIDAD SANTO TOMAS-TUNJA,UNIVERSITY_UNIVERSIDAD TECNOLOGICA DE BOLIVAR-CARTAGENA,UNIVERSITY_UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,SCHOOL_NAT_PRIVATE,SCHOOL_NAT_PUBLIC,QR_PRO_F,QR_PRO_D,QR_PRO_C,QR_PRO_B,QR_PRO_A,CR_PRO_F,CR_PRO_D,CR_PRO_C,CR_PRO_B,CR_PRO_A,CC_PRO_F,CC_PRO_D,CC_PRO_C,CC_PRO_B,CC_PRO_A,ENG_PRO_F,ENG_PRO_D,ENG_PRO_C,ENG_PRO_B,ENG_PRO_A,WC_PRO_D,WC_PRO_C,WC_PRO_B,WC_PRO_A
0,A,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,A,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2,F,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4,A,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
5,D,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,F,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,A,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
8,F,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,F,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10,A,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
11,F,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
12,F,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
